,symbol,timestamp,open,high,low,close,volume,trade_count,vwap
49,AAPL,2025-12-01 11:48:00+00:00,277.49,277.49,277.49,277.49,155.0,13.0,277.49
50,AAPL,2025-12-01 11:50:00+00:00,277.48,277.59,277.48,277.59,1247.0,55.0,277.544455
51,AAPL,2025-12-01 11:53:00+00:00,277.56,277.56,277.5,277.5,1809.0,72.0,277.522472
52,AAPL,2025-12-01 12:00:00+00:00,277.46,277.53,277.46,277.53,2061.0,111.0,277.493688
53,AAPL,2025-12-01 12:01:00+00:00,277.49,277.49,277.49,277.49,202.0,3.0,277.49
54,AAPL,2025-12-01 12:03:00+00:00,277.4,277.41,277.38,277.41,1699.0,25.0,277.399124
55,AAPL,2025-12-01 12:04:00+00:00,277.41,277.41,277.11,277.11,3196.0,107.0,277.342606
56,AAPL,2025-12-01 12:11:00+00:00,277.18,277.18,277.17,277.18,1477.0,46.0,277.176364
57,AAPL,2025-12-01 12:12:00+00:00,277.01,277.02,277.01,277.02,734.0,27.0,277.015
58,AAPL,2025-12-01 12:13:00+00:00,277.1,277.1,277.1,277.1,273.0,10.0,277.1
59,AAPL,2025-12-01 12:14:00+00:00,277.1,277.1,277.1,277.1,469.0,15.0,277.1
60,AAPL,2025-12-01 12:15:00+00:00,277.17,277.17,277.17,277.17,2344.0,34.0,277.17
61,AAPL,2025-12-01 12:18:00+00:00,277.07,277.22,277.01,277.22,2615.0,50.0,277.049204
62,AAPL,2025-12-01 12:20:00+00:00,277.15,277.15,277.12,277.12,543.0,13.0,277.13
63,AAPL,2025-12-01 12:22:00+00:00,277.08,277.08,277.08,277.08,347.0,8.0,277.08
64,AAPL,2025-12-01 12:23:00+00:00,277.1,277.1,277.1,277.1,146.0,6.0,277.1
65,AAPL,2025-12-01 12:24:00+00:00,277.09,277.09,277.09,277.09,277.0,9.0,277.09
66,AAPL,2025-12-01 12:27:00+00:00,277.11,277.12,277.11,277.12,1020.0,32.0,277.117947
67,AAPL,2025-12-01 12:31:00+00:00,277.09,277.09,277.09,277.09,413.0,8.0,277.09
68,AAPL,2025-12-01 12:33:00+00:00,277.13,277.17,277.09,277.09,1231.0,34.0,277.13
69,AAPL,2025-12-01 12:34:00+00:00,277.08,277.08,277.07,277.07,468.0,18.0,277.075
70,AAPL,2025-12-01 12:35:00+00:00,277.08,277.08,277.07,277.07,663.0,12.0,277.072857
71,AAPL,2025-12-01 12:39:00+00:00,277.19,277.19,277.19,277.19,279.0,15.0,277.19
72,AAPL,2025-12-01 12:40:00+00:00,277.26,277.26,277.24,277.24,2333.0,21.0,277.257612
73,AAPL,2025-12-01 12:42:00+00:00,277.26,277.34,277.25,277.25,860.0,48.0,277.286203
74,AAPL,2025-12-01 12:46:00+00:00,277.29,277.3,277.29,277.29,464.0,26.0,277.293333
75,AAPL,2025-12-01 12:47:00+00:00,277.2,277.2,277.2,277.2,642.0,23.0,277.2
76,AAPL,2025-12-01 12:48:00+00:00,277.13,277.13,277.1,277.1,1171.0,42.0,277.116443
77,AAPL,2025-12-01 12:49:00+00:00,277.1,277.1,277.1,277.1,643.0,23.0,277.1
78,AAPL,2025-12-01 12:50:00+00:00,277.15,277.15,277.15,277.15,1130.0,13.0,277.15
79,AAPL,2025-12-01 12:51:00+00:00,277.18,277.18,277.18,277.18,305.0,17.0,277.18
80,AAPL,2025-12-01 12:54:00+00:00,277.25,277.25,277.25,277.25,275.0,7.0,277.25
81,AAPL,2025-12-01 12:56:00+00:00,277.32,277.32,277.32,277.32,123.0,7.0,277.32
82,AAPL,2025-12-01 12:57:00+00:00,277.29,277.29,277.29,277.29,204.0,8.0,277.29
83,AAPL,2025-12-01 12:59:00+00:00,277.44,277.5,277.44,277.5,1348.0,73.0,277.464797
84,AAPL,2025-12-01 13:00:00+00:00,277.32,278.85,276.15,276.15,61103.0,2885.0,277.56326
85,AAPL,2025-12-01 13:01:00+00:00,276.08,277.52,276.0,277.35,17720.0,672.0,276.777989
86,AAPL,2025-12-01 13:02:00+00:00,277.5,277.5,277.41,277.41,712.0,140.0,277.446794
87,AAPL,2025-12-01 13:03:00+00:00,277.42,277.42,277.42,277.42,2320.0,148.0,277.42
88,AAPL,2025-12-01 13:04:00+00:00,277.3512,277.3512,277.3512,277.3512,518.0,14.0,277.3512
89,AAPL,2025-12-01 13:06:00+00:00,277.3789,277.41,277.3789,277.41,746.0,40.0,277.39445
90,AAPL,2025-12-01 13:07:00+00:00,277.33,277.48,277.33,277.48,771.0,33.0,277.405
